Data with dt = 0.1: (Execution time, Inactivity time)
38.614, -1.00
41.209, 3.00
42.005, -1.00
42.286, 3.00
50.314, -1.00
62.124, 3.00
36.239, 3.00
33.652, 3.00
37.218, 3.00
41.316, -1.00
37.016, 3.00
37.170, 3.00
42.804, 3.00
37.701, -1.00
37.979, 3.00
45.648, 3.00
37.239, 3.00
51.883, 3.00
32.891, -1.00
41.216, -1.00
34.394, -1.00
35.418, 3.00
35.561, 3.00
59.305, 3.00
36.983, 3.00
40.746, -1.00
51.910, -1.00
40.148, 3.00
45.581, 3.00
50.635, -1.00
39.451, 3.00
56.143, -1.00
37.419, 3.00
36.870, 3.00
70.940, 3.00
37.247, 3.00
32.015, 3.00
39.727, 3.00
38.676, 3.00
43.324, 3.00
39.195, 3.00
36.945, 3.00
43.148, 3.00
56.059, 3.00
43.314, 3.00
31.348, 3.00
45.052, 3.00
39.248, 3.00
37.316, 3.00
55.539, 3.00
40.928, 3.00
40.876, 3.00
41.028, -1.00
44.170, 3.00
50.640, 3.00
69.455, -1.00
40.670, 3.00
43.532, -1.00
42.219, 3.00
45.365, 3.00
50.181, 3.00
22.305, -1.00
26.072, -1.00
54.421, 3.00
34.213, 3.00
15.535, -1.00
36.110, 3.00
42.651, 3.00
41.252, 3.00
37.043, 3.00
49.042, 3.00
22.388, -1.00
58.077, -1.00
38.441, 3.00
56.388, -1.00
32.168, -1.00
36.747, 3.00
50.873, -1.00
43.943, 3.00
41.371, 3.00
44.945, -1.00
48.214, 3.00
32.836, 3.00
46.453, -1.00
36.942, 3.00
42.121, 3.00
15.555, -1.00
29.934, 3.00
37.878, 3.00
40.747, 3.00
23.953, -1.00
38.183, 3.00
43.631, 3.00
34.842, -1.00
35.843, 3.00
37.936, 3.00
32.156, 3.00
37.515, -1.00
34.861, -1.00
38.180, 3.00
